index,text,polarity
11,"If you could give Donald Trump the gift of a single trait to help his presidency, what would it be?
My first thought was that prudence was the most important gift one could give him. Prudence is the ability to govern oneself with the use of reason. It is the ability to suppress one’s impulses for the sake of long-term goals. It is the ability to see the specific circumstances in which you are placed, and to master the art of navigating within them.
My basic thought was that a prudent President Trump wouldn’t spend his mornings angrily tweeting out his resentments. A prudent Trump wouldn’t spend his afternoons barking at foreign leaders and risking nuclear war. “Prudence is what differentiates action from impulse and heroes from hotheads,” writes the French philosopher André Comte-Sponville.
But the more I thought about it the more I realized prudence might not be the most important trait Trump needs. He seems intent on destroying the postwar world order — building walls, offending allies and driving away the stranger and the refugee. Do I really want to make him more prudent and effective in pursuit of malicious goals?
Moreover, the true Trump dysfunction seems deeper. We are used to treating politicians as vehicles for political philosophies and interest groups. But in Trump’s case, his philosophy, populism, often takes a back seat to his psychological complexes — the psychic wounds that seem to induce him into a state of perpetual war with enemies far and wide.",negative
12,"In the nearly three weeks since Mr. Trump’s inauguration, that feeling has completely dissipated.
At a barbershop in west Tehran, the Trump name was the only thing that could get a group of young men to turn away from the soccer match between Tehran’s popular Esteghlal team and a team from Qatar.
“We thought he was a businessman who would offer transactions with Iran, perhaps some investments,” said Ali Mohammadi, 26. Describing himself as a fun-loving young man seeking a decent job, Mr. Mohammadi said he was now thinking about what he would do if Iran came under bombardment someday. “It just feels as if we are powerless, at the mercy of international politics.”
When Mr. Trump started ridiculing the nuclear agreement during the presidential campaign, many in Iran thought he was merely trying to get votes.
Some middle-class Iranians, who get their news from the approximately 150 illegal Persian-language satellite channels that broadcast from overseas into Iran, started contending that Mr. Trump could actually be a blessing. His perceived friendliness toward Russia has long been seen as a plus in Iran, with many people expecting Russia’s president, Vladimir V. Putin, to rein in Mr. Trump’s anti-Iranian stances.
“But we cannot trust the Russians to do so,” said Housang Tale, a historian who is critical of Russia’s relationship with Iran’s leaders. “They have used us throughout history, taken our land and sold us out,” he said of Russia. “Who says they won’t trade Iran with the U.S. for the Ukraine? More pressure is coming.”
Others disagreed and insisted that Iran’s cordial relations with Russia would save their country from new sanctions and military strikes. “They will not allow America to attack us,” said Malek Elyasi, who owns a motorcycle repair shop. “Any war with Iran would turn into a global conflict because the Russians will support us.”
Iran’s defiance of the United States has been a pillar of foreign policy since the 1979 Islamic Revolution, and the ideology of independence from world powers is widely embraced even by Iranians who do not like their government’s politically repressive behavior. But some question whether this ideology can sometimes undermine national interests.",negative
13,"Mrs. King’s letter was not flattering. (“…has used the awesome power of his office in a shabby attempt to intimidate and frighten elderly black voters.”) Neither were the quotes Warren read from the late Senator Edward Kennedy (“a disgrace”). But none of it was exactly a surprise, and all of Washington knew the nomination was eventually going to pass. Yet McConnell decided to shut down Warren, claiming she had “impugned the motives and conduct” of a fellow senator.
McConnell cited Rule 19, which is more than a century old. It comes up about once a generation, when somebody calls a colleague an idiot or a liar. But this was totally different. The other senators were startled — or would have been if most of them had not been napping or back in their offices, dialing up donors.
“She was warned,” McConnell said later. “She was given an explanation. Nevertheless, she persisted.”
Wow, nothing worse than a woman who won’t stop talking.
“They were waiting to Rule 19 someone and they specifically targeted Elizabeth,” said Senator Kirsten Gillibrand. “I think because she’s effective.”
The social media exploded. You have to admit we live in wondrous times, people. There was a day when people only took to Facebook to post pictures of their vacation. On Wednesday they were pouring in to watch Elizabeth Warren read her forbidden letter.
Dark and extremely conspiratorial minds suggested the whole thing was a Republican plot to promote Warren as a presidential candidate, since they believe Trump could defeat her in 2020. This presumes that McConnell is suffering from a pathological case of advance planning.",negative
14,"AURORA, Colo. — It took 11 days of calling lawyers, beseeching immigration officials and trying to book one-way plane tickets, but on Tuesday, Osman Nasreldin got the love of his life back.
His fiancée, Sahar Fadul, had been detained late last month after arriving at Dulles International Airport from her parents’ home in Sudan and put on a plane back to Africa, the visa it had taken a year for her to acquire stamped “CANCELLED” in purple ink.
They were reunited on a mild afternoon in Colorado, joining a flood of other travelers taking advantage of the temporary suspension of President Trump’s immigration order restricting the entry of refugees and arrivals from seven largely Muslim countries in the Middle East and Africa. Other couples across the world were still in limbo.",negative
15,"Every day, the president’s behavior becomes more worrying. One day he demeans a federal judge who challenges him; the next day, without evidence, he accuses the media of hiding illegal voting or acts of terrorism. His lack of respect for institutions and truth pours out so fast, you start to forget how crazy this behavior is for any adult, let alone a president, and just how ugly things will get when we have a real crisis. And crises are baked into this story because of the incoherence of President Trump’s worldview.
How so? The world today is more interdependent than ever. The globalization of markets, the spread of cellphones, the accelerations in technology and biology, the new mass movements of migrants and the disruptions in the climate are all intertwined and impacting one another. As a result, we need a president who can connect all of these dots and navigate a path that gets the most out of them and cushions the worst.
But Trump is a dot exploiter, not connector. He made a series of reckless, unconnected promises, not much longer than tweets, to get elected, and now he’s just checking off each one, without thinking through the linkages among them or anticipating second-order effects.
It is a great way to make America weak — and overstretched — again.
Where do I start? Trump wants to get tougher with China on trade and security. That’s not crazy. But how would I do that? I’d organize an alliance of Pacific trading nations that surround China and enlist them in a trade pact that supports U.S.-style rule of law, greater market access for U.S. intellectual property and products and promotes U.S. values — as opposed to China’s. I’d call it the Trans-Pacific Partnership, or TPP for short.",negative
16,"ROME — When Stephen K. Bannon was still heading Breitbart News, he went to the Vatican to cover the canonization of John Paul II and make some friends. High on his list of people to meet was an archconservative American cardinal, Raymond Burke, who had openly clashed with Pope Francis.
In one of the cardinal’s antechambers, amid religious statues and book-lined walls, Cardinal Burke and Mr. Bannon — who is now President Trump’s anti-establishment eminence — bonded over their shared worldview. They saw Islam as threatening to overrun a prostrate West weakened by the erosion of traditional Christian values, and viewed themselves as unjustly ostracized by out-of-touch political elites.
“When you recognize someone who has sacrificed in order to remain true to his principles and who is fighting the same kind of battles in the cultural arena, in a different section of the battlefield, I’m not surprised there is a meeting of hearts,” said Benjamin Harnwell, a confidant of Cardinal Burke who arranged the 2014 meeting.
While Mr. Trump, a twice-divorced president who has boasted of groping women, may seem an unlikely ally of traditionalists in the Vatican, many of them regard his election and the ascendance of Mr. Bannon as potentially game-changing breakthroughs.",negative
17,"LIVERPOOL, England — When engineers faced resistance from residents in Denmark over plans to build wind turbines on the Nordic country’s flat farmland, they found a better locale: the sea. The offshore wind farm, the world’s first, had just 11 turbines and could power about 3,000 homes.
That project now looks like a minnow compared with the whales that sprawl for miles across the seas of Northern Europe.
Off this venerable British port city, a Danish company, Dong Energy, is installing 32 turbines that stretch 600 feet high. Each turbine produces more power than that first facility.
It is precisely the size, both of the projects and the profits they can bring, that has grabbed the attention of financial institutions, money managers and private equity funds, like the investment bank Goldman Sachs, as well as wealthy individuals like the owner of the Danish toymaker Lego. As the technology has improved and demand for renewable energy has risen, costs have fallen.",negative
18,"A group of prominent Democrats who served in recent administrations, including John Kerry and Madeleine K. Albright, have called on the courts to extend a ruling blocking crucial parts of President Trump’s travel ban, saying the White House executive order would “endanger U.S. troops” and disrupt antiterrorism efforts.
The former officials expressed their concerns on Monday to the United States Court of Appeals for the Ninth Circuit, based in San Francisco, which is considering the matter after a judge in Seattle effectively ruled that travelers from seven predominantly Muslim nations as well as vetted refugees from all nations could, for now, continue to enter the United States.
With Mr. Trump’s executive order, “we risk placing our military efforts at risk by sending an insulting message” to Iraqis working with American forces battling the Islamic State there, the legal filing to the court said. “The order will likely feed the recruitment narrative of ISIL and other extremists that portray the United States as at war with Islam,” it said, using another name for the Islamic State, also known as ISIS.
In addition to Mr. Kerry, a secretary of state under President Barack Obama, and Ms. Albright, who held the same position under President Bill Clinton, officials behind the filing included Susan E. Rice, Mr. Obama’s national security adviser, and Leon E. Panetta, who served as secretary of defense and head of the C.I.A.",neutral
19,"Fox’s “24: Legacy” probably never intended to be taken too seriously. The post-Super Bowl pilot was an hour of television, after all, that included the franchise’s new hero, Eric Carter (Corey Hawkins), shooting down a construction pipe and using it as a deadly rolling pin.
But this reboot had seriousness thrust upon it. Running a week after Donald J. Trump’s stringent immigration restrictions on seven predominantly Muslim countries, it could have been scripted straight from the president’s direst imaginings. It was, intentionally or not, a one-hour Super Bowl ad for Islamophobia.
We open on an American home defiled — family pictures, a Purple Heart, blood spatter on the walls. A jihadist kill team has slipped into the United States, slaughtering men, women and children, looking for a database of sleeper cells waiting to be activated.
That kind of supercompetent Islamic terror group is a staple in series like “24.” Not so much in real life, where after 9/11, Islamic terrorists in America have tended to be radicalized individuals or duos.",negative
20,"“If I were in the White House, I’d feel better about my position if the ban or moratorium or whatever you call it were based on an actual attack or threat,” former Attorney General Alberto R. Gonzales, who served under Mr. Bush, said in an interview. Still, he said, when it comes to noncitizens overseas, “the executive has enjoyed great deference from the courts.”
Judge James Robart, a Federal District Court judge in Seattle appointed by Mr. Bush, on Friday issued a nationwide suspension of Mr. Trump’s order while its legality was debated. The administration quickly asked the United States Court of Appeals for the Ninth Circuit to overrule the judge, but it refused early Sunday and instead ordered the government to file a brief on Monday. The quick briefing schedule indicated that the appeals court could issue a ruling on the merits of the president’s order within days.
In the meantime, refugees vetted by the government can proceed to the United States, as can any travelers with approved visas from the seven targeted nations: Iran, Iraq, Libya, Somalia, Sudan, Syria and Yemen.
Still, widespread confusion and anger were reported at overseas airports on Sunday. Unsure which orders to follow, airlines stopped even some of the people named in the lawsuits who were technically cleared to come to the country, according to a government official.
The assertion of broad latitude by the president in areas of national security resembles the struggles of the Bush years, when in the months after the Sept. 11 attacks the administration claimed sometimes sweeping power in the name of fighting terrorism.
Jack Goldsmith, who as head of the Justice Department’s Office of Legal Counsel under Mr. Bush argued that some of the initial orders went too far and forced them to be rolled back, said on Sunday that there were similarities. “But Bush’s legal directives were not as sloppy as Trump’s,” he said. “And Trump’s serial attacks on judges and the judiciary take us into new territory. The sloppiness and aggressiveness of the directives, combined with the attacks on judges, put extra pressure on judges to rule against Trump.”",negative
21,"President Trump’s vow to overhaul the Food and Drug Administration could bring major changes in policy, including steps to accelerate the process of approving new prescription drugs, setting up a clash with critics who say his push for deregulation might put consumers at risk.
Mr. Trump has been vetting candidates to run the agency, which regulates the safety of everything from drugs and medical devices to food and cosmetics. Among them is Jim O’Neill, a former official at the Health and Human Services Department who is an associate of the Silicon Valley billionaire and Trump supporter Peter Thiel. Mr. O’Neill has argued that companies should not have to prove that their drugs work in clinical trials before selling them to consumers.
Other candidates also have called for reducing regulatory hurdles.
If the most significant proposals are adopted — and many would require an act of Congress — they will reverse decades of policy and consumer protections dating to the 1960s. Congress toughened the drug approval process in the wake of the worldwide crisis over thalidomide, which caused severe birth defects in babies whose mothers had taken the drug in pregnancy. Since then, the F.D.A. has come to be viewed as the world’s leading watchdog for protecting the safety of food and drugs, a gold standard whose lead other countries often follow.
Mr. Trump’s most recent statements, made at a White House round-table discussion last week with leaders of the nation’s top drug companies, have reverberated throughout the medical and pharmaceutical industries. Supporters of deregulation have long wanted to reduce bureaucracy and lessen oversight of drugs and devices, while critics say the market for drugs could be destabilized and the door opened to unproven products based on junk science.",negative
22,"TOKYO — Defense Secretary Jim Mattis described Iran as the world’s greatest sponsor of terrorism on Saturday, but he emphasized that there was no pressing need for the United States to beef up its military presence in the Persian Gulf region.
“I do not see any need to increase the number of forces we have in the Middle East at this time,” Mr. Mattis said, speaking in Tokyo at a news conference as he wound up his visits to Japan and South Korea, his first foreign trip as defense secretary.
Michael T. Flynn, President Trump’s national security adviser, said this week that the United States was putting Iran “on notice” because of its recent missile test and support for Houthi rebels in Yemen, whom the United States has accused of threatening American vessels in the Red Sea and attacking a Saudi Navy patrol boat.
The Trump administration imposed economic sanctions on Friday against 25 Iranians and companies that it said were connected with Iran’s missile program and the country’s Islamic Revolutionary Guard Corps. But so far, the White House has not announced military steps to strengthen its presence in the region. No American aircraft carrier is currently deployed in the Persian Gulf, though the Navy was expected to rotate one into the area.",neutral
23,"WEST PALM BEACH, Fla. — A federal appeals court early Sunday rejected a request by the Justice Department to immediately restore President Trump’s targeted travel ban, deepening a legal showdown over his authority to tighten the nation’s borders in the name of protecting Americans from terrorism.
In the legal back and forth over the travel ban, the United States Court of Appeals for the Ninth Circuit in San Francisco said a reply from the Trump administration was now due on Monday.
The ruling meant that travelers from seven predominantly Muslim nations — Iran, Iraq, Libya, Somalia, Sudan, Syria and Yemen — as well as vetted refugees from all nations could, for now, continue to enter the country. Those foreigners had been barred by an executive order signed by the president on Jan. 27.",positive
24,"President Trump’s two-for-one deal — an executive order requiring federal agencies to eliminate at least two regulations for every new one issued — sounds more like a fast-food ad than a plan for governing.
There are sound ways to streamline regulations, but boxing in regulators this way is neither advisable nor necessary. Since 2011, federal agencies have been systematically reviewing rules on the books, under a governmentwide effort begun by President Barack Obama to revise and eliminate duplicative or outdated rules and to identify regulatory gaps where new rules are needed. The “look-back” program — which brought net savings of some $37 billion over five years — makes Mr. Trump’s order all the more worrisome, because many unneeded rules have already been purged. Regulations that are necessary to protect the public, including environmental rules that safeguard health, are now at risk.
For example, the Environmental Protection Agency would have to repeal limitations on some pollutants — mercury, perhaps — in order to impose new regulations, like the updated limits on lead in drinking water that are on the agency’s agenda this year. The nation’s environmental laws do not instruct the E.P.A. to make such trade-offs, but, in effect, the executive order does. Similarly, Congress never told the Food and Drug Administration to choose among food-label accuracy, drug safety and the purity of cosmetics in carrying out the nation’s product safety laws. Mr. Trump’s executive order would force the agency to make such choices.
The order’s heavy-handedness puts environmentalists and consumer advocates on solid ground to argue in court that the two-for-one repeal formula is arbitrary and capricious, and thus illegal. But as long as the order is in force, rulemaking — a basic function of governance — will be greatly impaired.",negative
25,"Trump’s executive order barring people from seven Muslim-majority countries goes against the bedrock constitutional idea that prohibits government from favoring one religion over another. His order is a Muslim ban, as Rudolph Giuliani helpfully explained, recalling a Trump conversation. Trump himself said that Christians would be given priority over other refugees.
Now, let’s assume the Supreme Court blocks this action, following judges from lower courts, citing both equal protection and the religious establishment clause of the document Trump has sworn to uphold.
What follows could be a titanic test: Would Trump actually defy the Supreme Court? The way he has handled the fallout from the executive order shows that Trump, like any political bully, is willing to go as far as we’ll let him.
Jackson set the pattern. In 1830, he pressed Congress to pass the Indian Removal Act, displacing thousands of people and ultimately leading to the Trail of Tears. About 4,000 Cherokee died in that long march, stumbling westward in rags after their homes were looted. Two years after the act, the Supreme Court laid a foundation for Indian sovereignty in a case out of Georgia, writing that the tribes were “distinct, independent political communities retaining their original natural rights.”
The ruling infuriated Jackson. To him, Indians were “a few savage hunters” who should yield their land to white Christians. The Supreme Court decision, he wrote, was “stillborn,” because they “cannot coerce Georgia to yield to its mandate.” In other words: How many troops does the Supreme Court have? The court order was never enforced. And not long after Jackson’s second term ended, most Indians had been removed from their ancient tribal homelands in the American South.
This history is haunting. Among the many things that keep people awake at night is a vision of a tyrannical Trump openly defying the Constitution. Because he has yet to fully untangle himself from his many personal holdings, he is already being sued for violation of the emoluments clause, which prohibits federal officials from receiving money or gifts from foreign governments.
But that’s a trifle compared to what an enraged Trump could do if the courts try to stop him on the Muslim ban. Don’t count on Republicans, who waved their pocket copies of the Constitution at the most inconsequential executive orders of President Obama, to come to the rescue. Their patriotism is entirely situational.
The fate of the republic may hinge on how much Trump decides to emulate the slaveholding, Indian-hating, Constitution-violating man staring at him from that portrait in the Oval Office. Jackson is too close for comfort.",negative
26,"And their policies often become harsher as well as broader, Mr. van der Maat said, as leaders climb what he called “the ladder of violence” — moving from discrimination into more significant persecution.
Large-scale deportations, such as those Mr. Trump promised on the campaign trail, would be a step higher on that ladder, Mr. Van der Maat said, because they would require the use of force and affect a wide segment of the population. The president last week signed an executive order that would give law enforcement officials expanded resources for carrying out deportations, and promised to punish “sanctuary cities” that refuse to cooperate with federal deportation efforts.
Testing the limits of power
Mr. Trump is a democratically elected president, and the United States is a democracy. But the experts caution that does not mean that the lessons of authoritarian behavior should be ignored entirely.
Presidents Recep Tayyip Erdogan of Turkey and Vladimir V. Putin of Russia, Mr. Weiler said, were democratically elected, then systematically undermined democratic checks and balances to consolidate their own power.
Leaders with authoritarian tendencies “will push and push until they find a spot where they can’t push anymore — and if they don’t, they’ll keep going,” Ms. Berman said. “We’re watching that process happen in not-so-slow motion in Turkey now,” she said, where Mr. Erdogan has “eroded the democratic system to the point where most analysts think it’s no longer democratic at all.”
Mr. Trump’s refugee ban, if it is found to be legal, is not necessarily a step toward that kind of democratic decline, Ms. Berman said. The key thing to watch for, she said, is whether he will try to use the power of the presidency to push through illegal rules or overrule checks and balances.
That has not yet occurred. But the ban is a sign that Mr. Trump is willing to push the limits of the norms of American governing. By circumventing normal procedures for drafting and issuing executive orders, the White House created confusion and chaos within the agencies that will enforce the new rules. On Monday, Acting Attorney General Sally Q. Yates said she did not think the ban was legal and directed the Justice Department not to defend it. Mr. Trump fired her later that day.",negative
